ID;x;y;C;N;E;S;W
775;492964.0755;7660961.703;31;23;31;23;24
776;492959.4337;7661009.821;23;23;22;23;23
777;492957.3963;7661060.48;23;22;24;23;24
778;492950.9521;7661108.165;81;22;22;23;24
779;492945.5434;7661160.129;23;23;24;23;23
780;492943.0187;7661209.052;22;22;23;23;23
781;492934.6754;7661258.637;22;22;22;22;23
782;492933.041;7661307.735;24;24;24;23;24
783;492927.6669;7661356.443;24;24;23;24;24
784;492919.7735;7661406.742;86;80;25;23;25
785;492915.7977;7661455.807;80;23;23;80;80
786;492909.9503;7661508.628;22;25;25;22;22
787;492905.3764;7661554.416;22;23;24;81;22
788;492900.8342;7661608.149;23;23;23;23;24
789;492896.4733;7661655.759;24;24;22;24;22
790;492892.0583;7661705.208;23;23;23;24;23
791;492886.3623;7661755.611;23;24;24;24;23
792;492880.6873;7661806.191;24;24;24;23;22
793;492873.344;7661851.741;24;24;24;24;12
794;492870.9936;7661905.182;24;24;24;24;24
795;492866.0532;7661955.419;24;24;24;24;24
796;492862.655;7662005.307;75;25;41;75;75
797;492855.6471;7662054.291;22;23;12;23;24
798;492848.8627;7662106.199;24;24;24;24;24
799;492846.2998;7662153.933;24;24;24;30;12
800;492843.848;7662204.286;24;24;24;24;24
801;493083.9079;7660269.383;27;27;75;30;75
802;493078.86;7660321.343;80;80;30;42;43
803;493072.6616;7660372.138;27;27;75;30;27
804;493067.5154;7660421.205;27;27;27;21;27
805;493062.8562;7660470.549;25;25;25;25;25
806;493059.9905;7660518.346;25;75;27;23;75
807;493054.2804;7660572.039;42;31;80;100;100
808;493049.8981;7660619.166;42;30;25;42;31
809;493043.0549;7660669.635;24;30;24;24;24
810;493038.8714;7660719.682;31;31;31;24;24
811;493035.5804;7660769.903;31;31;12;80;31
812;493030.7173;7660819.321;24;24;24;23;23
813;493022.6256;7660867.498;23;24;23;23;23
814;493019.9123;7660918.607;31;83;31;31;31
815;493016.1725;7660965.083;85;80;80;23;85
816;493012.4923;7661015.986;22;22;23;23;23
817;493004.8613;7661065.704;24;23;24;22;23
818;493000.9713;7661114.805;12;12;23;24;24
819;492994.1978;7661161.803;23;22;23;24;22
820;492989.3909;7661212.014;23;23;21;24;22
821;492986.7198;7661263.367;23;23;23;21;23
822;492983.0876;7661313.904;23;24;24;24;23
823;492977.5755;7661365.71;23;24;23;23;30
824;492972.5201;7661416.088;83;12;83;83;80
825;492967.354;7661464.991;23;22;23;24;23
826;492962.1576;7661514.034;23;23;23;23;23
827;492955.8607;7661561.992;23;23;23;22;22
828;492952.6146;7661614.32;29;24;24;12;29
829;492947.218;7661663.795;23;22;24;23;22
830;492942.2448;7661712.526;23;23;24;24;23
831;492936.6599;7661761.98;23;23;23;23;23
832;492931.942;7661812.035;23;12;24;23;23
833;492928.3321;7661862.468;22;23;23;22;23
834;492922.9798;7661913.823;22;23;24;24;22
835;492917.5722;7661962.542;24;24;24;23;24
836;492912.7949;7662010.448;22;23;23;22;22
837;492909.0477;7662060.443;12;12;12;12;12
838;492902.7539;7662107.541;22;24;30;12;12
839;492899.2455;7662162.599;23;22;22;23;22
840;492892.4782;7662207.86;30;30;24;24;30
841;493133.208;7660273.948;87;85;85;87;87
842;493130.1603;7660323.657;27;27;27;27;23
843;493120.9725;7660373.81;23;22;21;21;22
844;493119.6443;7660425.06;52;30;30;30;30
845;493110.7749;7660475.023;87;87;87;87;87
846;493109.239;7660522.404;42;80;80;44;42
847;493102.6737;7660572.105;22;23;22;87;80
848;493099.5621;7660623.402;25;23;24;25;25
849;493095.8172;7660670.791;31;31;80;80;87
850;493089.2791;7660723.176;31;80;85;22;31
851;493083.1857;7660771.618;24;24;24;80;23
852;493080.768;7660821.009;25;25;25;24;25
853;493072.6022;7660872.253;24;24;12;31;31
854;493071.2807;7660920.197;12;24;23;85;87
855;493063.8628;7660970.527;25;23;29;83;29
856;493059.325;7661020.998;25;25;23;23;25
857;493052.8629;7661069.388;22;81;23;23;23
858;493049.1456;7661119.138;25;22;24;75;22
859;493045.65;7661169.263;23;22;30;22;23
860;493038.6659;7661218.213;23;22;24;24;23
861;493037.0636;7661268.496;22;23;22;12;23
862;493030.1632;7661318.847;84;84;84;80;80
863;493026.7933;7661369.253;23;23;21;21;81
864;493018.0042;7661422.121;31;80;31;22;31
865;493015.6034;7661464.79;23;23;24;24;23
866;493009.9974;7661515.359;22;22;23;22;12
867;493005.1322;7661574.243;23;23;23;23;24
868;493000.3364;7661617.195;12;24;75;23;24
869;492996.5533;7661667.188;22;23;23;23;22
870;492991.9048;7661715.725;23;23;23;23;23
871;492985.9259;7661766.537;23;23;23;23;22
872;492981.1051;7661814.884;22;22;22;22;22
873;492976.4273;7661866.835;23;23;23;23;23
874;492972.0542;7661914.548;22;22;22;22;24
875;492965.2877;7661966.65;12;22;12;24;25
876;492960.53;7662012.004;22;22;22;23;23
877;492956.3575;7662067.091;22;30;24;24;24
878;492952.571;7662114.069;12;12;30;12;12
879;492945.9742;7662165.627;12;12;12;12;31
880;492942.4878;7662213.98;22;22;30;30;22
881;493181.3212;7660277.386;27;27;22;27;30
882;493176.2134;7660328.5;23;22;21;21;22
883;493172.798;7660379.857;23;22;75;75;75
884;493168.3271;7660426.649;85;22;27;85;85
885;493163.5833;7660475.917;25;80;87;80;80
886;493158.0556;7660526.993;22;23;23;27;22
887;493153.4099;7660574.402;25;22;30;30;85
888;493148.5701;7660623.777;31;80;80;27;31
889;493144.4042;7660673.747;22;27;22;85;22
890;493139.6211;7660722.991;22;22;22;22;22
891;493133.5089;7660781.466;24;25;24;23;22
892;493129.2496;7660823.763;23;75;23;22;23
893;493122.6025;7660881.021;22;23;22;23;23
894;493119.8018;7660926.013;23;23;23;81;85
895;493112.3678;7660979.071;24;23;24;24;24
896;493108.8944;7661025.066;23;23;30;23;23
897;493103.5849;7661072.697;22;23;22;22;23
898;493097.406;7661125.203;21;23;23;21;21
899;493093.2013;7661172.986;23;23;23;23;23
900;493089.0655;7661221.774;22;22;24;23;23
901;493083.4854;7661273.049;23;24;23;23;24
902;493079.923;7661322.105;32;84;84;84;12
903;493073.521;7661369.919;21;23;21;21;22
904;493067.9077;7661422.999;22;22;22;22;22
905;493063.8108;7661473.405;71;83;71;71;71
